agency_cd	site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
USGS	09524700	YUMA MAIN CANAL ABOVE WASTEWAY NR WINTERHAVEN, CA	01	00060	2015-06-10 10:00:00	MST	1070		2015-06-10 13:11:03
USGS	09524700	YUMA MAIN CANAL ABOVE WASTEWAY NR WINTERHAVEN, CA	02	00065	2015-06-10 10:00:00	MST	14.77		2015-06-10 13:11:03
USGS	09524700	YUMA MAIN CANAL ABOVE WASTEWAY NR WINTERHAVEN, CA	03	00055	2015-06-10 10:00:00	MST	1.23		2015-06-10 13:11:03
USGS	09525000	YUMA MAIN CANAL WASTEWAY AT YUMA, AZ	01	00060	2015-06-10 10:00:00	MST	708		2015-06-10 13:09:03
USGS	09525000	YUMA MAIN CANAL WASTEWAY AT YUMA, AZ	02	00065	2015-06-10 10:00:00	MST	14.70		2015-06-10 13:09:03
USGS	09525000	YUMA MAIN CANAL WASTEWAY AT YUMA, AZ	04	45592	2015-06-10 10:00:00	MST	2.07		2015-06-10 13:09:03
USGS	09526200	YPSILANTI CANAL NEAR WINTERHAVEN, CA	02	00060	2015-06-10 10:15:00	MST	0.21		2015-06-10 13:33:04
USGS	09526200	YPSILANTI CANAL NEAR WINTERHAVEN, CA	03	00065	2015-06-10 10:15:00	MST	1.03		2015-06-10 13:33:04
USGS	09527590	COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION	01	00060	2015-06-10 10:45:00	MST	670		2015-06-10 13:53:03
USGS	09527590	COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION	13	00055	2015-06-10 10:45:00	MST	3.04		2015-06-10 13:53:03
USGS	09527590	COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION	14	00065	2015-06-10 10:45:00	MST	10.25		2015-06-10 13:53:03
USGS	09527594	COACHELLA CANAL NEAR NILAND, CA	01	00060	2015-06-10 10:00:00	MST	569		2015-06-10 13:15:03
USGS	09527594	COACHELLA CANAL NEAR NILAND, CA	02	00065	2015-06-10 10:00:00	MST	14.68		2015-06-10 13:15:03
USGS	09527594	COACHELLA CANAL NEAR NILAND, CA	03	00055	2015-06-10 10:00:00	MST	1.70		2015-06-10 13:15:03
USGS	09527597	COACHELLA CANAL NEAR DESERT BEACH, CA	01	00060	2015-06-10 10:00:00	MST	558		2015-06-10 13:15:03
USGS	09527597	COACHELLA CANAL NEAR DESERT BEACH, CA	02	00065	2015-06-10 10:00:00	MST	20.82		2015-06-10 13:15:03
USGS	09527597	COACHELLA CANAL NEAR DESERT BEACH, CA	03	00055	2015-06-10 10:00:00	MST	3.81		2015-06-10 13:15:03
USGS	09527630	BROCK RESERVOIR INLET NEAR CALEXICO, CA	01	00060	2015-06-10 10:45:00	MST	14		2015-06-10 13:55:03
USGS	09527630	BROCK RESERVOIR INLET NEAR CALEXICO, CA	02	00065	2015-06-10 10:45:00	MST	25.06		2015-06-10 13:55:03
USGS	09527630	BROCK RESERVOIR INLET NEAR CALEXICO, CA	03	00055	2015-06-10 10:45:00	MST	0.03		2015-06-10 13:55:03
USGS	09527660	BROCK RESERVOIR OUTLET NEAR CALEXICO, CA	01	00060	2015-06-10 10:30:00	MST	0.00		2015-06-10 13:37:03
USGS	09527660	BROCK RESERVOIR OUTLET NEAR CALEXICO, CA	02	00065	2015-06-10 10:30:00	MST	24.93		2015-06-10 13:37:03
USGS	09527660	BROCK RESERVOIR OUTLET NEAR CALEXICO, CA	03	00055	2015-06-10 10:30:00	MST	0.00		2015-06-10 13:37:03
USGS	09527700	ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET	01	00060	2015-06-10 10:30:00	MST	4100		2015-06-10 13:41:03
USGS	09527700	ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET	02	00065	2015-06-10 10:30:00	MST	43.05		2015-06-10 13:41:03
USGS	09527700	ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET	03	00055	2015-06-10 10:30:00	MST	2.65		2015-06-10 13:41:03
USGS	09527700	ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET	04	00011	2015-06-10 10:30:00	MST	78.7		2015-06-10 13:41:03
USGS	09530000	RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ	01	00060	2015-06-10 10:15:00	MST	82		2015-06-10 13:31:03
USGS	09530000	RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ	05	00065	2015-06-10 10:15:00	MST	***		2015-06-10 13:31:03
USGS	09530500	DRAIN 8-B NEAR WINTERHAVEN, CA	01	00060	2015-06-10 10:15:00	MST	8.2		2015-06-10 13:31:03
USGS	09530500	DRAIN 8-B NEAR WINTERHAVEN, CA	02	00065	2015-06-10 10:15:00	MST	2.24		2015-06-10 13:31:03
USGS	10251290	BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS, CA	01	00065	2015-06-10 10:15:00	PDT	12.46		2015-06-10 13:30:03
USGS	10251290	BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS, CA	02	00060	2015-06-10 10:15:00	PDT	0.21		2015-06-10 13:30:03
USGS	10251300	AMARGOSA RV AT TECOPA, CA	01	00065	2015-06-10 10:30:00	PDT	5.57		2015-06-10 13:46:01
USGS	10251300	AMARGOSA RV AT TECOPA, CA	02	00060	2015-06-10 10:30:00	PDT	0.17		2015-06-10 13:46:01
USGS	10251330	AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA	01	00065	2015-06-10 10:30:00	PDT	24.74		2015-06-10 13:46:01
USGS	10251330	AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA	02	00060	2015-06-10 10:30:00	PDT	1.5		2015-06-10 13:46:01
USGS	10251330	AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA	03	70969	2015-06-10 10:00:00	PDT	13.9		2015-06-10 13:46:01
USGS	10254005	SALTON SEA NR WESTMORLAND CA	01	62614	2015-06-10 09:45:00	PDT	-233.82		2015-06-10 13:03:03
USGS	10254050	SALT C NR MECCA	01	00060	2015-06-10 09:45:00	PDT	0.00		2015-06-10 13:03:03
USGS	10254050	SALT C NR MECCA	02	00065	2015-06-10 09:45:00	PDT	4.86		2015-06-10 13:03:03
USGS	10254730	ALAMO R NR NILAND CA	01	00060	2015-06-10 10:15:00	PDT	754		2015-06-10 13:28:04
USGS	10254730	ALAMO R NR NILAND CA	06	00065	2015-06-10 10:15:00	PDT	69.29		2015-06-10 13:28:04
USGS	10254730	ALAMO R NR NILAND CA	07	00011	2015-06-10 10:15:00	PDT	77.8		2015-06-10 13:28:04
USGS	10254730	ALAMO R NR NILAND CA	09	00055	2015-06-10 10:15:00	PDT	1.78		2015-06-10 13:28:04
USGS	10254970	NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA	02	00060	2015-06-10 10:00:00	PDT	117		2015-06-10 13:03:03
USGS	10254970	NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA	04	00065	2015-06-10 10:00:00	PDT	9.02		2015-06-10 13:03:03
USGS	10255550	NEW R NR WESTMORLAND CA	01	00060	2015-06-10 10:45:00	PDT	472		2015-06-10 13:51:02
USGS	10255550	NEW R NR WESTMORLAND CA	02	00065	2015-06-10 10:45:00	PDT	3.13		2015-06-10 13:51:02
USGS	10255810	BORREGO PALM C NR BORREGO SPRINGS CA	02	00065	2015-06-10 10:00:00	PDT	7.13		2015-06-10 13:09:03
USGS	10256500	SNOW C NR WHITE WATER CA	01	00060	2015-06-10 10:00:00	PDT	2.8		2015-06-10 13:03:03
USGS	10256500	SNOW C NR WHITE WATER CA	02	00065	2015-06-10 10:00:00	PDT	2.45		2015-06-10 13:03:03
USGS	10257500	FALLS C NR WHITE WATER CA	01	00060	2015-06-10 10:00:00	PDT	0.12		2015-06-10 13:03:03
USGS	10257500	FALLS C NR WHITE WATER CA	02	00065	2015-06-10 10:00:00	PDT	4.02		2015-06-10 13:03:03
USGS	10257548	WHITEWATER R A WINDY POINT MAIN CHANNEL CA	01	00060	2015-06-10 10:45:00	PDT	2.1		2015-06-10 13:51:02
USGS	10257548	WHITEWATER R A WINDY POINT MAIN CHANNEL CA	02	00065	2015-06-10 10:45:00	PDT	3.92		2015-06-10 13:51:02
USGS	10257549	WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA	01	00060	2015-06-10 10:45:00	PDT	0.00		2015-06-10 13:51:02
USGS	10257549	WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA	02	00065	2015-06-10 10:45:00	PDT	12.42		2015-06-10 13:51:02
USGS	10257600	MISSION C NR DESERT HOT SPRINGS CA	01	00060	2015-06-10 10:00:00	PDT	0.18		2015-06-10 13:03:03
USGS	10257600	MISSION C NR DESERT HOT SPRINGS CA	02	00065	2015-06-10 10:00:00	PDT	1.33		2015-06-10 13:03:03
USGS	10257720	CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA	01	00065	2015-06-10 10:00:00	PDT	8.78		2015-06-10 13:03:03
USGS	10257720	CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA	02	00060	2015-06-10 10:00:00	PDT	0.00		2015-06-10 13:03:03
USGS	10258000	TAHQUITZ C NR PALM SPRINGS CA	01	00060	2015-06-10 10:45:00	PDT	0.47		2015-06-10 13:56:03
USGS	10258000	TAHQUITZ C NR PALM SPRINGS CA	02	00065	2015-06-10 10:45:00	PDT	3.40		2015-06-10 13:56:03
USGS	10258500	PALM CYN C NR PALM SPRINGS CA	01	00060	2015-06-10 10:45:00	PDT	0.00		2015-06-10 13:49:03
USGS	10258500	PALM CYN C NR PALM SPRINGS CA	02	00065	2015-06-10 10:45:00	PDT	1.07		2015-06-10 13:49:03
USGS	10259000	ANDREAS C NR PALM SPRINGS CA	01	00060	2015-06-10 10:30:00	PDT	0.99		2015-06-10 13:34:04
USGS	10259000	ANDREAS C NR PALM SPRINGS CA	02	00065	2015-06-10 10:30:00	PDT	2.17		2015-06-10 13:34:04
USGS	10259050	PALM CYN WASH NR CATHEDRAL CITY CA	01	00065	2015-06-10 10:45:00	PDT	2.75		2015-06-10 13:54:05
USGS	10259100	WHITEWATER R A RANCHO MIRAGE CA	01	00065	2015-06-10 10:30:00	PDT	6.58		2015-06-10 13:37:03
USGS	10259100	WHITEWATER R A RANCHO MIRAGE CA	02	00060	2015-06-10 10:30:00	PDT	0.00		2015-06-10 13:37:03
USGS	10259200	DEEP C NR PALM DESERT CA	01	00060	2015-06-10 10:45:00	PDT	0.00		2015-06-10 13:54:05
USGS	10259200	DEEP C NR PALM DESERT CA	02	00065	2015-06-10 10:45:00	PDT	1.04		2015-06-10 13:54:05
USGS	10259300	WHITEWATER R A INDIO CA	01	00060	2015-06-10 10:45:00	PDT	0.00		2015-06-10 13:56:03
USGS	10259300	WHITEWATER R A INDIO CA	02	00065	2015-06-10 10:45:00	PDT	6.94		2015-06-10 13:56:03
USGS	10259540	WHITEWATER R NR MECCA	02	00065	2015-06-10 10:00:00	PDT	3.96		2015-06-10 13:03:03
USGS	10260500	DEEP C NR HESPERIA CA	01	00060	2015-06-10 10:00:00	PDT	11		2015-06-10 13:05:03
USGS	10260500	DEEP C NR HESPERIA CA	02	00065	2015-06-10 10:00:00	PDT	1.31		2015-06-10 13:05:03
USGS	10260500	DEEP C NR HESPERIA CA	12	00010	2015-06-10 10:00:00	PDT	20.6		2015-06-10 13:05:03
USGS	10260500	DEEP C NR HESPERIA CA	13	00095	2015-06-10 10:00:00	PDT	353		2015-06-10 13:05:03
USGS	10260500	DEEP C NR HESPERIA CA	14	00400	2015-06-10 10:00:00	PDT	8.1		2015-06-10 13:05:03
USGS	10260855	GRASS VALLEY LK TUNNEL OUTLET A LAKE ARROWHEAD CA	01	00065	2015-06-10 10:15:00	PDT	0.73		2015-06-10 13:21:03
USGS	10260855	GRASS VALLEY LK TUNNEL OUTLET A LAKE ARROWHEAD CA	02	00060	2015-06-10 10:15:00	PDT	0.02		2015-06-10 13:21:03
USGS	10260950	WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA	01	00065	2015-06-10 10:30:00	PDT	0.19		2015-06-10 13:45:03
USGS	10260950	WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA	02	00060	2015-06-10 10:30:00	PDT	0.00		2015-06-10 13:45:03
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	01	00010	2015-06-10 10:45:00	PDT	19.1		2015-06-10 13:54:05
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	02	00060	2015-06-10 10:45:00	PDT	5.6		2015-06-10 13:54:05
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	03	00065	2015-06-10 10:45:00	PDT	8.19		2015-06-10 13:54:05
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	04	00095	2015-06-10 10:45:00	PDT	734		2015-06-10 13:54:05
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	20	00400	2015-06-10 10:45:00	PDT	7.9		2015-06-10 13:54:05
USGS	10262500	MOJAVE R A BARSTOW CA	01	00060	2015-06-10 10:00:00	PDT	0.00		2015-06-10 13:07:03
USGS	10262500	MOJAVE R A BARSTOW CA	02	00065	2015-06-10 10:00:00	PDT	2.24		2015-06-10 13:07:03
USGS	10262500	MOJAVE R A BARSTOW CA	90	70969	2015-06-10 10:00:00	PDT	14.1		2015-06-10 13:07:03
USGS	10262500	MOJAVE R A BARSTOW CA	91	72114	2015-06-10 10:03:00	PDT	47.0		2015-06-10 13:07:03
USGS	10263000	MOJAVE R A AFTON CA	02	00065	2015-06-10 10:00:00	PDT	3.39		2015-06-10 13:09:03
USGS	10263500	BIG ROCK C NR VALYERMO CA	02	00060	2015-06-10 10:15:00	PDT	***		2015-06-10 13:30:03
USGS	10263500	BIG ROCK C NR VALYERMO CA	03	00065	2015-06-10 10:15:00	PDT	1.71		2015-06-10 13:30:03
USGS	10265150	HOT C A FLUME NR MAMMOTH LAKES CA	01	00065	2015-06-10 09:00:00	PST	0.92		2015-06-10 13:11:03
USGS	10265150	HOT C A FLUME NR MAMMOTH LAKES CA	02	00060	2015-06-10 09:00:00	PST	37		2015-06-10 13:11:03
USGS	10265150	HOT C A FLUME NR MAMMOTH LAKES CA	03	00010	2015-06-10 09:00:00	PST	35.1		2015-06-10 13:11:03
USGS	10265150	HOT C A FLUME NR MAMMOTH LAKES CA	04	00095	2015-06-10 09:00:00	PST	615		2015-06-10 13:11:03
USGS	10289500	GREEN CK NR BRIDGEPORT, CA	01	00065	2015-06-10 10:15:00	PDT	2.08		2015-06-10 13:30:03
USGS	10289500	GREEN CK NR BRIDGEPORT, CA	02	00060	2015-06-10 10:15:00	PDT	51		2015-06-10 13:30:03
USGS	10290500	ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA	01	00060	2015-06-10 10:30:00	PDT	101		2015-06-10 13:40:02
USGS	10290500	ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA	02	00065	2015-06-10 10:30:00	PDT	2.49		2015-06-10 13:40:02
USGS	10291500	BUCKEYE CK NR BRIDGEPORT, CA	01	00060	2015-06-10 10:00:00	PDT	68		2015-06-10 13:10:03
USGS	10291500	BUCKEYE CK NR BRIDGEPORT, CA	02	00065	2015-06-10 10:00:00	PDT	2.24		2015-06-10 13:10:03
USGS	10292500	BRIDGEPORT RE NR BRIDGEPORT, CA	01	00054	2015-06-10 10:30:00	PDT	5700		2015-06-10 13:46:01
USGS	10292500	BRIDGEPORT RE NR BRIDGEPORT, CA	03	00062	2015-06-10 10:30:00	PDT	39.33		2015-06-10 13:46:01
USGS	10293000	E WALKER RV NR BRIDGEPORT, CA	04	00065	2015-06-10 10:30:00	PDT	3.00		2015-06-10 13:46:01
USGS	10293000	E WALKER RV NR BRIDGEPORT, CA	05	00060	2015-06-10 10:30:00	PDT	90		2015-06-10 13:46:01
USGS	10296000	W WALKER RV BLW L WALKER RV NR COLEVILLE, CA	03	00065	2015-06-10 10:30:00	PDT	3.00		2015-06-10 13:48:05
USGS	10296000	W WALKER RV BLW L WALKER RV NR COLEVILLE, CA	04	00060	2015-06-10 10:30:00	PDT	491		2015-06-10 13:48:05
USGS	10296500	W WALKER RV NR COLEVILLE, CA	01	00060	2015-06-10 10:15:00	PDT	425		2015-06-10 13:30:03
USGS	10296500	W WALKER RV NR COLEVILLE, CA	02	00065	2015-06-10 10:15:00	PDT	4.96		2015-06-10 13:30:03
USGS	10296700	W WALKER RV BLW TOPAZ CANAL DIV NR TOPAZ, CA	02	00065	2015-06-10 10:15:00	PDT	1.90		2015-06-10 13:26:03
USGS	10296750	TOPAZ CANAL BLW DIV W WALKER RVR NR TOPAZ, CA	01	00060	2015-06-10 10:15:00	PDT	289		2015-06-10 13:26:03
USGS	10296750	TOPAZ CANAL BLW DIV W WALKER RVR NR TOPAZ, CA	02	00065	2015-06-10 10:15:00	PDT	2.48		2015-06-10 13:26:03
USGS	10308200	E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE	02	00060	2015-06-10 10:00:00	PDT	285		2015-06-10 13:20:03
USGS	10308200	E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE	03	00065	2015-06-10 10:00:00	PDT	3.04		2015-06-10 13:20:03
USGS	10308783	LEVIATHAN C AB MINE NR MARKLEEVILLE CA	01	00065	2015-06-10 10:30:00	PDT	3.77		2015-06-10 13:41:03
USGS	10308783	LEVIATHAN C AB MINE NR MARKLEEVILLE CA	02	00060	2015-06-10 10:30:00	PDT	0.08		2015-06-10 13:41:03
USGS	10308784	LEVIATHAN MINE ADIT DRAIN NR MARKLEEVILLE CA	01	00065	2015-06-10 10:30:00	PDT	9.600		2015-06-10 13:41:03
USGS	10308784	LEVIATHAN MINE ADIT DRAIN NR MARKLEEVILLE CA	02	00060	2015-06-10 10:30:00	PDT	0.018		2015-06-10 13:41:03
USGS	10308785	LEVIATHAN MINE PIT FLOW NR MARKLEEVILLE CA	01	00065	2015-06-10 10:30:00	PDT	9.810		2015-06-10 13:41:03
USGS	10308785	LEVIATHAN MINE PIT FLOW NR MARKLEEVILLE CA	02	00060	2015-06-10 10:30:00	PDT	0.001		2015-06-10 13:41:03
USGS	103087853	LEVIATHAN MINE POND 1 NR MARKLEEVILLE CA	01	00065	2015-06-10 10:30:00	PDT	5.33		2015-06-10 13:41:03
USGS	10308789	LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA	01	00065	2015-06-10 10:00:00	PDT	4.32		2015-06-10 13:13:03
USGS	10308789	LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA	02	00060	2015-06-10 10:00:00	PDT	0.12		2015-06-10 13:13:03
USGS	10308794	BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA	01	00060	2015-06-10 10:15:00	PDT	1.2		2015-06-10 13:25:02
USGS	10308794	BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA	02	00065	2015-06-10 10:15:00	PDT	3.79		2015-06-10 13:25:02
USGS	10310000	W FK CARSON RV AT WOODFORDS, CA	03	00065	2015-06-10 10:30:00	PDT	10.09		2015-06-10 13:48:05
USGS	10310000	W FK CARSON RV AT WOODFORDS, CA	04	00060	2015-06-10 10:30:00	PDT	44		2015-06-10 13:48:05
USGS	103366092	UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA	02	00060	2015-06-10 10:00:00	PDT	47		2015-06-10 13:20:03
USGS	103366092	UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA	03	00065	2015-06-10 10:00:00	PDT	4.72		2015-06-10 13:20:03
USGS	10336610	UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA	01	00010	2015-06-10 10:30:00	PDT	13.6		2015-06-10 13:42:04
USGS	10336610	UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA	02	00060	2015-06-10 10:30:00	PDT	41		2015-06-10 13:42:04
USGS	10336610	UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA	09	00065	2015-06-10 10:30:00	PDT	4.06		2015-06-10 13:42:04
USGS	10336610	UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA	12	70969	2015-06-10 10:00:00	PDT	13.4		2015-06-10 13:42:04
USGS	10336610	UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA	21	63680	2015-06-10 10:30:00	PDT	0.6		2015-06-10 13:42:04
USGS	10336645	GENERAL C NR MEEKS BAY CA	01	00010	2015-06-10 10:30:00	PDT	12.2		2015-06-10 13:39:03
USGS	10336645	GENERAL C NR MEEKS BAY CA	02	00060	2015-06-10 10:30:00	PDT	3.4		2015-06-10 13:39:03
USGS	10336645	GENERAL C NR MEEKS BAY CA	06	00065	2015-06-10 10:30:00	PDT	0.83		2015-06-10 13:39:03
USGS	10336645	GENERAL C NR MEEKS BAY CA	09	63680	2015-06-10 10:30:00	PDT	81		2015-06-10 13:39:03
USGS	10336660	BLACKWOOD C NR TAHOE CITY CA	01	00010	2015-06-10 10:30:00	PDT	11.4		2015-06-10 13:39:03
USGS	10336660	BLACKWOOD C NR TAHOE CITY CA	02	00060	2015-06-10 10:30:00	PDT	13		2015-06-10 13:39:03
USGS	10336660	BLACKWOOD C NR TAHOE CITY CA	03	00065	2015-06-10 10:30:00	PDT	8.35		2015-06-10 13:39:03
USGS	10336660	BLACKWOOD C NR TAHOE CITY CA	14	63680	2015-06-10 10:30:00	PDT	0.5		2015-06-10 13:39:03
USGS	10336674	WARD C BL CONFLUENCE NR TAHOE CITY CA	01	00065	2015-06-10 10:30:00	PDT	3.80		2015-06-10 13:43:03
USGS	10336676	WARD C AT HWY 89 NR TAHOE PINES CA	01	00010	2015-06-10 10:00:00	PDT	10.8		2015-06-10 13:13:03
